,urn,author,title,year,lang
261,2015012158023,"Dahll, Tellef",Om Norvegicum,1880,nob
262,2016090848213,,Betænkning og Indstilling fra den ved Kongelig Resolution af 5te August 1853 nedsatte Commission angaaende det offentlige Fattigvæsen paa Landet,1856,nob
263,2016111648031,"Aubert, Vilhelm","""Verdens Gang"" og Vantroen",1883,nob
264,2014021308015,"Jensen, O.",Forklaring til Dr. M. Luthers lille katekismus,1890,nob
265,2008092410001,,"Skibs-Artikler saavel for Over- og Under-Officerer, som for Alle og Enhver, Gemene og andre, der fare paa de Coffardie-Skibe, som seile til Vest-Indien, Guinea, samt Middelhavet, eller paa lange Reiser om de Vest",1826,nob
266,2008043003001,"Saxild, Erik Nicolai",Bidrag til Professor Stener Johannes Stenersens Biographie,1835,nob
267,2012081424002,"Mathiesen, Henrik",Throndhjems ældre topografi,1890,nob
268,2009062204090,"Dalstrøm, J.J.",Øvelsesbog i Modersmaalets skrivning,1905,nob
269,2008121612002,"Johnsen, Chr.",Reise i Universet,1885,nob
270,2009020400003,"Petersen, C.T.",Logarithme-Tabeller med fem decimaler,1910,nob
271,2008052102002,"Wergeland, Henrik","Campbellerne, eller Den hjemkomne Sön",1837,nob
272,2009012800107,"Petersen, A.",Opgaver i fysik,1895,nob
273,2010070506032,"Ludvigsen, Axel","Supplement til Englands Historie i L.R. Daas Lærebog, II: (1509-1714)",1878,nob
274,2009070110003,"Steenbuch, Henrik",Svar paa de hos Bogtrykker Lehmann udkomne Bemærkninger om Kongens Veto,1824,nob
275,2016111748598,"Lund, Harald Marius",Mand og kvinde,1904,nob
276,2012090708223,,Mestertyven Ole Høilands mærkværdige Liv og Levnet,1896,nob
277,2009030403041,"Bugge, F.W.",Den hellige Nadverd,1897,nob
278,2009061210001,"Nielsen, Yngvar",Atlas og Sahara,1894,nob
279,2016111748589,"Waters, W.G.",Min Ven Bellamy,1890,nob
280,2008060613002,"Bjørnson, Bjørnstjerne",Sangen har Lysning,1872,nob
281,2014021008006,"Mejlænder, Otto",Lov om Rettergangsmaaden i Straffesager af 1ste Juli 1887,1887,nob
282,2008021503002,"Vogt, Nils Collett",Fra Kristiania,1904,nob
